job_title,clean_job_title
Chief Financial Officer,"['chief', 'financial', 'officer']"
Full-time Community Connections Intern (paid internship),"['full', 'time', 'community', 'connection', 'intern', 'pay', 'internship']"
Country Coordinator,"['country', 'coordinator']"
BCC Specialist,"['bcc', 'specialist']"
Software Developer,"['software', 'developer']"
Saleswoman,['saleswoman']
Chief Accountant/ Finance Assistant,"['chief', 'accountant', 'finance', 'assistant']"
Non-paid part or full time Programmatic Intern,"['non', 'pay', 'part', 'full', 'time', 'programmatic', 'intern']"
Assistant to Managing Director,"['assistant', 'manage', 'director']"
"Program Assistant (INL), FSN-8; FP-6*","['program', 'assistant', 'inl', 'fsn', 'fp']"
Short-Term Travel Grants (STG) Program,"['short', 'term', 'travel', 'grant', 'stg', 'program']"
Non-paid part or full time Administrative Intern,"['non', 'pay', 'part', 'full', 'time', 'administrative', 'intern']"
Chief of Party (COP),"['chief', 'party', 'cop']"
"Community Development, Capacity Building and Conflict","['community', 'development', 'capacity', 'building', 'conflict']"
General Manager,"['general', 'manager']"
Network Administrator,"['network', 'administrator']"
Utopian World Championship 2004,"['utopian', 'world', 'championship']"
Country Economist (NOB),"['country', 'economist', 'nob']"
Driver/ Logistics Assistant,"['driver', 'logistics', 'assistant']"
Graphic Designer,"['graphic', 'designer']"
Administrative Assistant,"['administrative', 'assistant']"
Lawyer,['lawyer']
Marketing Advisor,"['marketing', 'advisor']"
Chief/ Supervisor of Programs Department,"['chief', 'supervisor', 'program', 'department']"
Journalism Trainer,"['journalism', 'trainer']"
Deputy Program Director,"['deputy', 'program', 'director']"
Student Forum: Student Conference and Debate Forum (April 17 -,"['student', 'forum', 'student', 'conference', 'debate', 'forum', 'april']"
Reporting Diversity Workshop for Journalists,"['report', 'diversity', 'workshop', 'journalist']"
Reporting Diversity Workshop for Journalists,"['report', 'diversity', 'workshop', 'journalist']"
Chief Accountant,"['chief', 'accountant']"
Consultant (short-term),"['consultant', 'short', 'term']"
"Guard, FSN-2; FP-CC*","['guard', 'fsn', 'fp', 'cc']"
Training Officer,"['train', 'officer']"
"Chauffeur, FSN-3; FP-BB*","['chauffeur', 'fsn', 'fp', 'bb']"
Demographic Analysis Workshop,"['demographic', 'analysis', 'workshop']"
Programmer,['programmer']
Tester,['tester']
Receptionist,['receptionist']
German Internships for Young Practicing Journalists from NIS,"['german', 'internship', 'young', 'practice', 'journalist', 'nis']"
Volunteer/ Intern,"['volunteer', 'intern']"
Team Leader/ Chief of Party,"['team', 'leader', 'chief', 'party']"
Program Manager - Children's Programs,"['program', 'manager', 'child', 'program']"
Receptionist,['receptionist']
Chief of Party,"['chief', 'party']"
